output,key,value
A,output,A: K_A -> G_eff
A,rho,1.0
A,gamma,1.0
A,analytic_beta_coeff,0.07957747154594767
A,beta_coeff_extrapolated,0.07905015592322025
A,beta_coeff_rel_err,0.006626443545934429
A,convergence,<list:4>
A,converged,True
A,ln_d_over_a,4.0
A,K_A_over_rhoGamma2,0.316200623692881
A,G_eff_times_rhoGamma2,3.16254910670663
A,validation_3D.straight_line_coeff_3D,0.07881141259090622
A,validation_3D.straight_line_rel_err,0.009626580741499555
A,validation_3D.quasi2D_reduction_validated,True
A,validation_3D.screw_helix_tension_factor,1.0136265059135783
A,validation_3D.reads,"straight-line 3D coeff = 2D value -> quasi-2D reduction is EXACT for a straight disclination line, so the gravity K_A is unchanged in 3D [OC]. The screw makes a matter ribbon's centerline helical, carrying a geometric tension factor ~1.01x (relevant to Output B's ribbon, not to gravity K_A)."
A,tier.beta_coeff,OC
A,tier.K_A,OC value on IR identification (K_A~beta)
A,tier.G_eff,IR
A,tier.3D quasi-2D reduction,OC
A,reads,O(1)*rhoGamma^2 -> CONFIRMS K_A~beta and REFINES gravity strength; order-of-magnitude mismatch would FALSIFY the shared-parameter id. The 3D filament sum confirms the quasi-2D reduction (straight-line coeff = 2D value) and a small (~1%) screw correction.
C,output,C: E(r) interaction law (lattice Green's function)
C,n,512
C,ln_form_beats_r2lnr,True
C,ln_form_residual,0.0015967497700127183
C,r2lnr_residual,0.03564539608170188
C,G_slope_per_lnr,-0.08643376132867561
C,G_slope_window_spread,0.0014670656184241702
C,analytic_slope_per_lnr,-0.09188814923696534
C,slope_rel_err,0.059358991922056265
C,slope_note,"coefficient measured to ~10% (finite torus + discreteness; the asymptotic regime exceeds the torus). The ln r FORM is robust; the coefficient is approximate, not claimed beyond its window spread."
C,E_r_coefficient_K_A_times_slope,-0.027330409240248845
C,screening.model,(-L + m2) G = delta; m2 ~ dislocation density n_d (2D Debye relation)
C,screening.table,<list:5>
C,screening.law,xi = 1/kappa = sqrt(C2/m2) ~ n_d^(-1/2)  (2D Debye-Huckel)
