L,Omega,Lk,Tw,writhe,eps_opt,framed,winding,is_ground_closure,spin,fibonacci,E
8,120.0,1,1.0186,-0.0186,0.0186,True,1,True,1/2,True,12.103520667171395
8,180.0,1,1.0186,-0.0186,0.0186,True,1,True,1/2,True,17.103520667171395
16,120.0,2,2.0372,-0.0372,0.0372,True,2,True,int,False,20.41408266868558
16,180.0,2,2.0372,-0.0372,0.0372,True,2,True,int,False,25.41408266868558
24,120.0,3,3.0557,-0.0557,0.0557,True,3,True,1/2,False,28.93168600454256
24,180.0,3,3.0557,-0.0557,0.0557,True,3,True,1/2,False,33.931686004542556
31,120.0,4,3.947,0.053,0.053,True,4,True,int,False,35.84326879916399
31,180.0,4,3.947,0.053,0.053,True,4,True,int,False,40.84326879916399
39,120.0,5,4.9656,0.0344,0.0344,True,5,True,1/2,False,43.35587238689266
39,180.0,5,4.9656,0.0344,0.0344,True,5,True,1/2,False,48.35587238689266
24,120.0,4,3.0557,0.9443,0.0557,True,4,False,int,False,295.4948320040378
16,120.0,3,2.0372,0.9628,0.0372,True,3,False,1/2,False,298.1228466683491
24,180.0,4,3.0557,0.9443,0.0557,True,4,False,int,False,300.4948320040378
8,120.0,2,1.0186,0.9814,0.0186,True,2,False,int,True,300.95790266700317
16,180.0,3,2.0372,0.9628,0.0372,True,3,False,1/2,False,303.1228466683491
31,120.0,3,3.947,-0.947,0.053,True,3,False,1/2,False,304.032538549816
8,180.0,2,1.0186,0.9814,0.0186,True,2,False,int,True,305.95790266700317
31,180.0,3,3.947,-0.947,0.053,True,3,False,1/2,False,309.032538549816
39,120.0,4,4.9656,-0.9656,0.0344,True,4,False,int,False,322.69076013771297
39,180.0,4,4.9656,-0.9656,0.0344,True,4,False,int,False,327.69076013771297
16,120.0,1,2.0372,-1.0372,0.0372,True,1,False,1/2,False,342.7053186690221
16,180.0,1,2.0372,-1.0372,0.0372,True,1,False,1/2,False,347.7053186690221
24,120.0,2,3.0557,-1.0557,0.0557,True,2,False,int,False,362.3685400050473
39,120.0,6,4.9656,1.0344,0.0344,True,6,False,int,False,364.02098463607234
24,180.0,2,3.0557,-1.0557,0.0557,True,2,False,int,False,367.3685400050473
31,120.0,5,3.947,1.053,0.053,True,5,False,1/2,False,367.65399904851193
39,180.0,6,4.9656,1.0344,0.0344,True,6,False,int,False,369.02098463607234
31,180.0,5,3.947,1.053,0.053,True,5,False,1/2,False,372.65399904851193
